album_name,track_title,track_n,lyric,line
midnights,Lavender Haze,1,(Meet me at midnight),1
midnights,Lavender Haze,1,"(Oh, oh, oh)",2
midnights,Lavender Haze,1,"(Oh, oh, oh)",3
midnights,Lavender Haze,1,"(Oh, oh, oh)",4
midnights,Lavender Haze,1,"(Woah, woah, woah, woah, woah)",5
midnights,Lavender Haze,1,Staring at the ceiling with you,6
midnights,Lavender Haze,1,"Oh, you don't ever say too much",7
midnights,Lavender Haze,1,And you don't really read into,8
midnights,Lavender Haze,1,My melancholia,9
midnights,Lavender Haze,1,"I been under scrutiny (yeah, oh, yeah)",10
midnights,Lavender Haze,1,"You handle it beautifully (yeah, oh, yeah)",11
midnights,Lavender Haze,1,"All this shit is new to me (yeah, oh, yeah)",12
midnights,Lavender Haze,1,I feel the lavender haze creeping up on me,13
midnights,Lavender Haze,1,Surreal,14
midnights,Lavender Haze,1,I'm damned if I do give a damn what people say,15
midnights,Lavender Haze,1,No deal,16
midnights,Lavender Haze,1,The 1950s shit they want from me,17
midnights,Lavender Haze,1,I just wanna stay in that lavender haze,18
midnights,Lavender Haze,1,"(Oh, oh, oh)",19
midnights,Lavender Haze,1,"(Oh, oh, oh)",20
midnights,Lavender Haze,1,"(Woah, woah, woah, woah, woah)",21
midnights,Lavender Haze,1,All they keep asking me (all they keep asking me),22
midnights,Lavender Haze,1,Is if I'm gonna be your bride,23
midnights,Lavender Haze,1,The only kind of girl they see (the only kind of girl they see),24
midnights,Lavender Haze,1,Is a one-night or a wife,25
midnights,Lavender Haze,1,"I find it dizzying (yeah, oh, yeah)",26
midnights,Lavender Haze,1,"They're bringing up my history (yeah, oh, yeah)",27
midnights,Lavender Haze,1,"But you weren't even listening (yeah, oh, yeah)",28
midnights,Lavender Haze,1,I feel the lavender haze creeping up on me,29
midnights,Lavender Haze,1,Surreal,30
midnights,Lavender Haze,1,I'm damned if I do give a damn what people say,31
midnights,Lavender Haze,1,No deal,32
midnights,Lavender Haze,1,The 1950s shit they want from me,33
midnights,Lavender Haze,1,I just wanna stay in that lavender haze,34
midnights,Lavender Haze,1,"(Oh, oh, oh)",35
midnights,Lavender Haze,1,"The lavender haze (oh, oh, oh)",36
midnights,Lavender Haze,1,"(Woah, woah, woah, woah, woah)",37
midnights,Lavender Haze,1,"Talk your talk and go viral (oh, oh, oh)",38
midnights,Lavender Haze,1,"I just need this love spiral (oh, oh, oh)",39
midnights,Lavender Haze,1,"Get it off your chest (woah, woah, woah, woah)",40
midnights,Lavender Haze,1,Get it off my desk (get it off my desk),41
midnights,Lavender Haze,1,"Talk your talk and go viral (oh, oh, oh)",42
midnights,Lavender Haze,1,"I just need this love spiral (oh, oh, oh)",43
midnights,Lavender Haze,1,Get it off your chest,44
midnights,Lavender Haze,1,Get it off my desk,45
midnights,Lavender Haze,1,I feel the lavender haze creeping up on me (I feel),46
midnights,Lavender Haze,1,Surreal,47
midnights,Lavender Haze,1,I'm damned if I do give a damn what people say,48
midnights,Lavender Haze,1,No deal (no deal),49
midnights,Lavender Haze,1,The 1950s shit they want from me,50
midnights,Lavender Haze,1,"I just wanna stay in that lavender haze (oh, oh)",51
midnights,Lavender Haze,1,"(Oh, oh, oh)",52
