album_name,track_title,track_n,lyric_line,line
fallen,Going Under,1,Now I will tell you what I've done for you,1
fallen,Going Under,1,Fifty thousand tears I've cried,2
fallen,Going Under,1,"Screaming, deceiving and bleeding for you",3
fallen,Going Under,1,And you still won't hear me (going under),4
fallen,Going Under,1,"Don't want your hand this time, I'll save myself",5
fallen,Going Under,1,Maybe I'll wake up for once (wake up for once),6
fallen,Going Under,1,"Not tormented, daily defeated by you",7
fallen,Going Under,1,Just when I thought I'd reached the bottom,8
fallen,Going Under,1,I'm dying again,9
fallen,Going Under,1,I'm going under (going under),10
fallen,Going Under,1,Drowning in you (drowning in you),11
fallen,Going Under,1,I'm falling forever (falling forever),12
fallen,Going Under,1,I've got to break through,13
fallen,Going Under,1,I'm going under,14
fallen,Going Under,1,Blurring and stirring the truth and the lies (so I don't know what's real),15
fallen,Going Under,1,So I don't know what's real and what's not (don't know what's real and what's not),16
fallen,Going Under,1,Always confusing the thoughts in my head (ooh),17
fallen,Going Under,1,So I can't trust myself anymore,18
fallen,Going Under,1,I'm dying again,19
fallen,Going Under,1,I'm going under (going under),20
fallen,Going Under,1,Drowning in you (drowning in you),21
fallen,Going Under,1,I'm falling forever (falling forever),22
fallen,Going Under,1,"I've got to break through, I'm",23
fallen,Going Under,1,"So go on and scream, scream at me",24
fallen,Going Under,1,I'm so far away (so far away),25
fallen,Going Under,1,I won't be broken again (again),26
fallen,Going Under,1,I've got to breathe,27
fallen,Going Under,1,I can't keep going under,28
fallen,Going Under,1,I'm dying again,29
fallen,Going Under,1,I'm going under (going under),30
fallen,Going Under,1,Drowning in you (drowning in you),31
fallen,Going Under,1,I'm falling forever (falling forever),32
fallen,Going Under,1,I've got to break through,33
fallen,Going Under,1,I'm going under (going under),34
fallen,Going Under,1,Going under (drowning in you),35
fallen,Going Under,1,I'm going under,36
fallen,Bring Me To Life,2,How can you see into my eyes like open doors?,1
fallen,Bring Me To Life,2,"Leading you down into my core, where I've become so numb",2
fallen,Bring Me To Life,2,"Without a soul, my spirit's sleeping somewhere cold",3
fallen,Bring Me To Life,2,Until you find it there and lead it back home,4
fallen,Bring Me To Life,2,(Wake me up) wake me up inside,5
fallen,Bring Me To Life,2,(I can't wake up) wake me up inside,6
fallen,Bring Me To Life,2,(Save me) call my name and save me from the dark,7
fallen,Bring Me To Life,2,(Wake me up) bid my blood to run,8
fallen,Bring Me To Life,2,(I can't wake up) before I come undone,9
fallen,Bring Me To Life,2,(Save me) save me from the nothing I've become,10
fallen,Bring Me To Life,2,Now that I know what I'm without,11
fallen,Bring Me To Life,2,You can't just leave me,12
fallen,Bring Me To Life,2,Breathe into me and make me real,13
fallen,Bring Me To Life,2,Bring me to life,14
fallen,Bring Me To Life,2,(Wake me up) wake me up inside,15
fallen,Bring Me To Life,2,(I can't wake up) wake me up inside,16
fallen,Bring Me To Life,2,(Save me) call my name and save me from the dark,17
