album_name,track_title,track_n,lyric_line,line
pornography,One Hundred Years,1,It doesn't matter if we all die,1
pornography,One Hundred Years,1,Ambition in the back of a black car,2
pornography,One Hundred Years,1,In a high building there is so much to do,3
pornography,One Hundred Years,1,"Going home time, a story on the radio",4
pornography,One Hundred Years,1,"Something small falls out of your mouth, and we laugh",5
pornography,One Hundred Years,1,"A prayer for something better, a prayer for something better",6
pornography,One Hundred Years,1,"Please, love me, meet my mother, but the fear takes hold",7
pornography,One Hundred Years,1,Creeping up the stairs in the dark,8
pornography,One Hundred Years,1,Waiting for the death blow,9
pornography,One Hundred Years,1,Waiting for the death blow,10
pornography,One Hundred Years,1,Waiting for the death blow,11
pornography,One Hundred Years,1,Stroking your hair as the patriots are shot,12
pornography,One Hundred Years,1,Fighting for freedom on television,13
pornography,One Hundred Years,1,Sharing the world with slaughtered pigs,14
pornography,One Hundred Years,1,Have we got everything? She struggles to get away,15
pornography,One Hundred Years,1,"The pain and the creeping feeling, a little black haired girl",16
pornography,One Hundred Years,1,"Waiting for Saturday, the death of her father pushing her",17
pornography,One Hundred Years,1,Pushing her white face into the mirror,18
pornography,One Hundred Years,1,Aching inside me and turn me round just like the old days,19
pornography,One Hundred Years,1,Just like the old days,20
pornography,One Hundred Years,1,Just like the old days,21
pornography,One Hundred Years,1,Just like the old days,22
pornography,One Hundred Years,1,Caressing an old man and painting a lifeless face,23
pornography,One Hundred Years,1,Just a piece of new meat in a clean room,24
pornography,One Hundred Years,1,The soldiers close in under a yellow Moon,25
pornography,One Hundred Years,1,All shadows and deliverance under a black flag,26
pornography,One Hundred Years,1,A hundred years of blood crimson,27
pornography,One Hundred Years,1,The ribbon tightens round my throat,28
pornography,One Hundred Years,1,I open my mouth and my head bursts open,29
pornography,One Hundred Years,1,A sound like a tiger thrashing in the water,30
pornography,One Hundred Years,1,Thrashing in the water,31
pornography,One Hundred Years,1,Over and over we die one after the other,32
pornography,One Hundred Years,1,Over and over we die one after the other,33
pornography,One Hundred Years,1,One after the other,34
pornography,One Hundred Years,1,One after the other,35
pornography,One Hundred Years,1,One after the other,36
pornography,One Hundred Years,1,One after the other,37
pornography,One Hundred Years,1,It feels like a hundred years,38
pornography,One Hundred Years,1,A hundred years,39
pornography,One Hundred Years,1,A hundred years,40
pornography,One Hundred Years,1,A hundred years,41
pornography,One Hundred Years,1,A hundred years,42
pornography,One Hundred Years,1,One hundred years,43
pornography,A Short Term Effect,2,"Movement, no movement, just a falling bird",1
pornography,A Short Term Effect,2,Cold as it hits the bleeding ground,2
pornography,A Short Term Effect,2,"He lived and died, catch sight, cover me with earth",3
pornography,A Short Term Effect,2,"Draped in black, static white sound",4
pornography,A Short Term Effect,2,"A day without substance, a change of thought",5
pornography,A Short Term Effect,2,An atmosphere that rots with time,6
pornography,A Short Term Effect,2,"Colours that flicker in water, a short term effect",7
pornography,A Short Term Effect,2,"Scream as she tries to push him over, helpless and sick",8
pornography,A Short Term Effect,2,"With teeth of madness, jump, jump, dance and sing",9
pornography,A Short Term Effect,2,"Sideways across the desert, a charcoal face bites my hand",10
pornography,A Short Term Effect,2,"Time is sweet, derange and disengage everything",11
pornography,A Short Term Effect,2,"A day without substance, a change of thought",12
pornography,A Short Term Effect,2,The atmosphere rots with time,13
pornography,A Short Term Effect,2,"Colours that flicker in water, a short term effect",14
pornography,A Short Term Effect,2,A short term effect,15
pornography,A Short Term Effect,2,"An echo and a stranger's hand, a short term effect",16
pornography,A Short Term Effect,2,"An echo and a stranger's hand, a short term effect",17
pornography,The Hanging Garden,3,Creatures kissing in the rain,1
pornography,The Hanging Garden,3,Shapeless in the dark again,2
pornography,The Hanging Garden,3,"In the hanging garden, please don't speak",3
pornography,The Hanging Garden,3,In the hanging garden no one sleeps,4
pornography,The Hanging Garden,3,Catching haloes on the moon,5
pornography,The Hanging Garden,3,Gives my hands the shapes of angels,6
pornography,The Hanging Garden,3,In the heat of the night the animals scream,7
pornography,The Hanging Garden,3,"In the heat of the night, walking into a dream...",8
pornography,The Hanging Garden,3,"Fall, fall, fall, fall into the walls",9
pornography,The Hanging Garden,3,"Jump, jump out of time",10
pornography,The Hanging Garden,3,"Fall, fall, fall, fall out of the sky",11
pornography,The Hanging Garden,3,Cover my face as the animals cry,12
pornography,The Hanging Garden,3,In the hanging garden,13
pornography,The Hanging Garden,3,Creatures kissing in the rain,14
pornography,The Hanging Garden,3,Shapeless in the dark again,15
pornography,The Hanging Garden,3,"In a hanging garden, change the past",16
pornography,The Hanging Garden,3,"In a hanging garden, wearing furs and masks",17
pornography,The Hanging Garden,3,"Fall, fall, fall, fall into the walls",18
pornography,The Hanging Garden,3,"Jump, jump out of time",19
pornography,The Hanging Garden,3,"Fall, fall, fall, fall out of the sky",20
pornography,The Hanging Garden,3,Cover my face as the animals die,21
pornography,The Hanging Garden,3,In the hanging garden,22
pornography,The Hanging Garden,3,In the hanging garden,23
pornography,Siamese Twins,4,I chose an eternity of this,1
pornography,Siamese Twins,4,"Like falling angels, the world disappeared",2
pornography,Siamese Twins,4,"Laughing into the fire, is it always like this?",3
pornography,Siamese Twins,4,Flesh and blood and the first kiss,4
pornography,Siamese Twins,4,"The first colours, the first kiss",5
pornography,Siamese Twins,4,We writhed under a red light,6
pornography,Siamese Twins,4,"Voodoo smile, siamese twins",7
pornography,Siamese Twins,4,A girl at the window looks at me for an hour,8
pornography,Siamese Twins,4,Then everything falls apart,9
pornography,Siamese Twins,4,"Broken inside me, it falls apart",10
pornography,Siamese Twins,4,The walls and the ceiling move in time,11
pornography,Siamese Twins,4,"Push a blade into my hands, slowly up the stairs",12
pornography,Siamese Twins,4,"And into the room, is it always like this?",13
pornography,Siamese Twins,4,"Dancing in my pocket, worms eat my skin",14
pornography,Siamese Twins,4,She glows and grows with arms outstretched,15
pornography,Siamese Twins,4,Her legs around me in the morning I cried,16
pornography,Siamese Twins,4,"Leave me to die, you won't remember my voice",17
pornography,Siamese Twins,4,I walked away and grew old,18
pornography,Siamese Twins,4,"You never talk, we never smile I scream: you're nothing",19
pornography,Siamese Twins,4,"I don't need you any more, you're nothing",20
pornography,Siamese Twins,4,"It fades and spins, fades and spins",21
pornography,Siamese Twins,4,Sing out loud: we all die,22
pornography,Siamese Twins,4,Laughing into the fire,23
pornography,Siamese Twins,4,Is it always like this?,24
pornography,Siamese Twins,4,Is it always like this?,25
pornography,Siamese Twins,4,Is it always like this?,26
pornography,The Figurehead,5,"Sharp and open, leave me alone",1
pornography,The Figurehead,5,And sleeping less every night,2
pornography,The Figurehead,5,As the days become heavier and weighted,3
pornography,The Figurehead,5,Waiting in the cold light,4
pornography,The Figurehead,5,"A noise, a scream tears my clothes",5
pornography,The Figurehead,5,As the figurines tighten with spiders inside them,6
pornography,The Figurehead,5,And dust on the lips of a vision of hell,7
pornography,The Figurehead,5,I laughed in the mirror for the first time in a year,8
pornography,The Figurehead,5,A hundred other words blind me with your purity,9
pornography,The Figurehead,5,Like an old painted doll in the throes of dance,10
pornography,The Figurehead,5,"I think about tomorrow, please let me sleep",11
